time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-29T01:08:58.4120298+02:00,1,"NT AUTHORITY\SYSTEM","rustdesk",3668,0,4.45,15.31,5,205,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"NT AUTHORITY\SYSTEM","tailscaled",4272,0,56.52,25.72,24,467,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"NT AUTHORITY\SYSTEM","rustdesk",4828,0,173.39,130.53,76,672,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"NT AUTHORITY\SYSTEM","tailscaled",5876,0,79.26,56.82,27,678,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","explorer",6488,0,63.5,147.79,74,2671,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","rustdesk",9820,0,6.09,17.78,15,188,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","tailscale-ipn",9896,0,57.84,31.29,23,535,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","rustdesk",6724,0,70.16,92.4,34,432,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","mstsc",9292,0,199.47,194.07,27,1242,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","mstsc",6556,0,199.37,193.71,29,1264,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","mstsc",8740,0,198.97,192.97,28,1255,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Mati","mstsc",9392,0,199.79,194.9,29,1264,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","rdpclip",11024,0,2.29,10.43,8,311,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","sihost",11080,0,5.46,26.17,9,477,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","taskhostw",10888,0,6.68,19.82,17,493,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc1","explorer",11416,0,38.38,107.64,39,1698,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","rdpclip",11580,0,2.27,10.55,8,311,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","sihost",11664,0,5.37,26.14,9,482,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","taskhostw",11960,0,6.42,19.79,17,493,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc4","explorer",12144,0,39.68,108.64,39,1702,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","rdpclip",11268,0,2.28,10.54,8,311,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","sihost",12012,0,5.34,26.11,9,477,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","taskhostw",12444,0,6.71,19.86,17,493,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc2","explorer",12644,0,39.5,108.71,39,1701,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","rdpclip",12768,0,2.27,10.56,8,312,"Normal","True",""
2026-04-29T01:08:58.4120298+02:00,1,"DINOZAUR15\Acc3","sihost",12912,0,5.22,25.99,9,475,"Normal","True",""
