time,loop,owner,total_private_mb,total_working_set_mb,process_count,bot_count,game_count,trash_count
2026-04-29T01:09:06.1850991+02:00,1,"acc3",212.62,612.01,16,0,0,0
2026-04-29T01:09:06.1890588+02:00,1,"acc2",214.89,612.82,16,0,0,0
2026-04-29T01:09:06.1890588+02:00,1,"acc4",214.21,612.53,16,0,0,0
2026-04-29T01:09:06.1900563+02:00,1,"acc1",213.46,613.41,16,0,0,0
2026-04-29T02:02:22.1103710+02:00,1,"acc3",205.19,573.19,15,0,0,0
2026-04-29T02:02:22.1133628+02:00,1,"acc2",680.41,1294.48,17,1,1,0
2026-04-29T02:02:22.1143600+02:00,1,"acc4",207.99,576.47,15,0,0,0
2026-04-29T02:02:22.1203451+02:00,1,"acc1",681.67,1272.62,17,1,1,0
2026-04-29T02:03:11.1012683+02:00,5,"acc3",202.17,558.97,14,0,0,0
2026-04-29T02:03:11.1022653+02:00,5,"acc2",715.24,1316,16,1,1,0
2026-04-29T02:03:11.1052602+02:00,5,"acc4",204.64,561.8,14,0,0,0
2026-04-29T02:03:11.1062548+02:00,5,"acc1",690.27,1270.6,16,1,1,0
2026-04-29T02:03:59.0862894+02:00,9,"acc3",202.28,558.54,14,0,0,0
2026-04-29T02:03:59.0872876+02:00,9,"acc2",723.41,1326.09,16,1,1,0
2026-04-29T02:03:59.0892820+02:00,9,"acc4",204.8,561.38,14,0,0,0
2026-04-29T02:03:59.0902789+02:00,9,"acc1",707.93,1281.98,16,1,1,0
2026-04-29T02:04:46.9777334+02:00,13,"acc3",201.11,557.86,14,0,0,0
2026-04-29T02:04:46.9787332+02:00,13,"acc2",691.38,1294.65,16,1,1,0
2026-04-29T02:04:46.9797295+02:00,13,"acc4",203.61,560.46,14,0,0,0
2026-04-29T02:04:46.9817237+02:00,13,"acc1",709.77,1285.74,16,1,1,0
2026-04-29T02:05:35.2687710+02:00,17,"acc3",201.08,557.64,14,0,0,0
2026-04-29T02:05:35.2697983+02:00,17,"acc2",716.18,1319.67,16,1,1,0
2026-04-29T02:05:35.2697983+02:00,17,"acc4",203.59,560.46,14,0,0,0
2026-04-29T02:05:35.2707963+02:00,17,"acc1",677.31,1254.98,16,1,1,0
2026-04-29T02:06:21.7792157+02:00,21,"acc3",201.08,557.64,14,0,0,0
2026-04-29T02:06:21.7792157+02:00,21,"acc2",727.4,1324.65,16,1,1,0
2026-04-29T02:06:21.7802111+02:00,21,"acc4",203.59,560.21,14,0,0,0
2026-04-29T02:06:21.7812092+02:00,21,"acc1",684.84,1265.89,16,1,1,0
2026-04-29T02:07:08.4871524+02:00,25,"acc3",200.8,557.49,14,0,0,0
2026-04-29T02:07:08.4881498+02:00,25,"acc2",728.1,1331.79,16,1,1,0
2026-04-29T02:07:08.4891473+02:00,25,"acc4",203.38,560.12,14,0,0,0
2026-04-29T02:07:08.4901446+02:00,25,"acc1",700.22,1282.15,16,1,1,0
2026-04-29T02:07:56.7499534+02:00,29,"acc3",202.12,557.59,14,0,0,0
2026-04-29T02:07:56.7529459+02:00,29,"acc2",721.27,1322.99,16,1,1,0
2026-04-29T02:07:56.7539417+02:00,29,"acc4",204.83,560.32,14,0,0,0
2026-04-29T02:07:56.7549388+02:00,29,"acc1",717.43,1297.23,16,1,1,0
2026-04-29T02:08:42.1918489+02:00,33,"acc3",201.96,556.2,14,0,0,0
2026-04-29T02:08:42.1937077+02:00,33,"acc2",759.45,1360.76,16,1,1,0
2026-04-29T02:08:42.1957002+02:00,33,"acc4",204.67,558.93,14,0,0,0
2026-04-29T02:08:42.1976991+02:00,33,"acc1",716.15,1295.2,16,1,1,0
2026-04-29T02:09:26.7850875+02:00,37,"acc3",200.77,555.86,14,0,0,0
2026-04-29T02:09:26.7860855+02:00,37,"acc2",780.9,1383.3,16,1,1,0
2026-04-29T02:09:26.7870825+02:00,37,"acc4",203.38,558.6,14,0,0,0
2026-04-29T02:09:26.7880813+02:00,37,"acc1",717.01,1296.96,16,1,1,0
