time,loop,owner,total_private_mb,total_working_set_mb,process_count,bot_count,game_count,trash_count
2026-04-29T01:08:02.5601228+02:00,1,"acc3",629.66,1396.75,27,0,0,0
2026-04-29T01:08:02.5697585+02:00,1,"acc2",716.4,1325.41,27,0,0,0
2026-04-29T01:08:02.5780160+02:00,1,"acc4",712.68,1321.37,27,0,0,0
2026-04-29T01:08:02.5785200+02:00,1,"acc1",627.89,1393.49,27,0,0,0
2026-04-29T01:08:51.9827062+02:00,5,"acc3",629.56,1390.98,27,0,0,0
2026-04-29T01:08:51.9847114+02:00,5,"acc2",716.38,1319.78,27,0,0,0
2026-04-29T01:08:51.9923012+02:00,5,"acc4",715.57,1333.04,28,0,0,0
2026-04-29T01:08:51.9986092+02:00,5,"acc1",627.15,1387.63,27,0,0,0
2026-04-29T01:09:33.6246252+02:00,8,"acc3",632.24,1399.7,27,0,0,0
2026-04-29T01:09:33.6280098+02:00,8,"acc2",718.79,1328.39,27,0,0,0
2026-04-29T01:09:33.6380184+02:00,8,"acc4",723.19,1352.6,28,0,0,0
2026-04-29T01:09:33.6409903+02:00,8,"acc1",630.12,1396.48,27,0,0,0
