time,loop,owner,process,pid,cpu_percent,private_mb,working_set_mb,threads,handles,priority,responding,action
2026-04-28T23:07:38.7511553+02:00,1,"NT AUTHORITY\SYSTEM","rustdesk",3608,0,4.39,15.28,5,205,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"NT AUTHORITY\SYSTEM","tailscaled",4240,0,56.68,25.68,25,481,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"NT AUTHORITY\SYSTEM","rustdesk",4820,0,173.6,134.32,77,666,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"NT AUTHORITY\SYSTEM","tailscaled",5984,0,78.09,56.3,29,701,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","explorer",6568,0,65.75,151.39,73,2426,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","rustdesk",9048,0,5.96,17.74,15,188,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","rustdesk",9056,0,70.76,92.51,33,431,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","tailscale-ipn",10164,0,57.95,30.71,22,509,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","mstsc",10100,0,198.12,199.81,32,1266,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","mstsc",10104,0,198.06,199.28,32,1262,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","mstsc",7512,0,198.47,200.27,29,1238,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Mati","mstsc",4160,0,198.46,199.22,30,1253,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc1","explorer",12976,0,39.34,107.62,59,1719,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc3","explorer",13504,0,40.21,108.2,60,1729,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc4","explorer",14140,0,39.93,108.11,61,1731,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc2","explorer",14808,0,40.59,108.5,63,1741,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc1","startmenuexperiencehost",14824,0,26.23,79.96,34,748,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc1","runtimebroker",15708,0,4.19,25.2,8,290,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc3","startmenuexperiencehost",15788,0,26.76,81.96,37,779,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc3","runtimebroker",16080,0,4.83,29.2,7,344,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc4","startmenuexperiencehost",16272,0,26.43,81.47,35,767,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc1","searchapp",11576,0,89.89,170.54,33,1048,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc4","runtimebroker",16488,0,4.8,29.15,9,351,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc1","runtimebroker",16688,0,7.79,33.12,15,535,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc3","searchapp",16816,0,90.7,171.32,33,1045,"Normal","True",""
2026-04-28T23:07:38.7511553+02:00,1,"DINOZAUR15\Acc3","runtimebroker",16988,0,7.84,33.11,16,535,"Normal","True",""
